User,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
#PrayForAfghanistan,0.026143790849673203,0.23515900761682798,0.0,0.04316942134441961
#Sketch,0.013071895424836602,0.20313958916900096,0.0,0.009314956994613521
#RedSox,0.006535947712418301,0.18021096227269787,0.0,0.00349488310587622
#UseText,0.013071895424836602,0.29168761521702696,0.0,0.07829310169984174
#thoughts,0.0196078431372549,0.23949088407292746,0.0,0.036600356814573534
#WakeUp,0.013071895424836602,0.23394996387586742,0.0,0.03012862268002343
#C,0.006535947712418301,0.006535947712418301,0.0,2.4183440077658845e-26
#ROP,0.006535947712418301,0.23823700509872361,0.0,0.02699548601931735
#lnyhbt,0.013071895424836602,0.013071895424836602,0.0,1.782695557348088e-19
#Watertown,0.006535947712418301,0.25279593318809007,0.0,0.032183099690910974
#Pluuuuhease,0.032679738562091505,0.25420820097126373,0.0,0.13233258925705704
#southafrica,0.006535947712418301,0.25139927057379124,0.0,0.06287982966643384
#ImpactYourWorld,0.013071895424836602,0.2535001001329037,0.0,0.03704377038412103
#24hr,0.0196078431372549,0.2700490680941021,0.0,0.06954980125406678
#Russia,0.013071895424836602,0.2692501063541788,0.0,0.05904533334303128
#mike,0.006535947712418301,0.25139927057379124,0.0,0.06287982966643384
#dnc,0.0196078431372549,0.0196078431372549,0.0,1.3294986782505016e-14
#AfricanAmericans,0.0196078431372549,0.2269489674506544,0.0,0.041314439157132274
#london,0.006535947712418301,0.23823700509872361,0.0,0.02699548601931735
#2,0.013071895424836602,0.013071895424836602,8.599931200550395e-05,4.501379885629849e-23
#boston,0.09803921568627451,0.34342089036872614,0.1126232656805412,0.20573832534557265
#TCOT,0.0196078431372549,0.0196078431372549,0.0,1.3294986782505016e-14
#help,0.013071895424836602,0.24730036942313158,0.0,0.03536946947717974
#selfie,0.032679738562091505,0.25420820097126373,0.0,0.13233258925705704
#breaking,0.006535947712418301,0.268455858252839,0.0,0.05129761568052439
#proud,0.0196078431372549,0.26455388356893145,0.0,0.11579478723504026
#lifemorals,0.006535947712418301,0.20496967555791087,0.0,0.008853535931770623
#GotHeeeem,0.006535947712418301,0.008714596949891067,0.0,3.1829562418255913e-23
#Pray,0.0196078431372549,0.26766628219915417,0.010061919504643963,0.05938065022078123
#US,0.013071895424836602,0.2692501063541788,0.0,0.05904533334303128
#Syria,0.006535947712418301,0.268455858252839,0.0,0.05129761568052439
#prayforwest,0.013071895424836602,0.25209566744518674,0.0,0.08532216622342909
#John16,0.006535947712418301,0.23335009217362157,0.0,0.026175133382271485
#prayforsiriya,0.032679738562091505,0.25420820097126373,0.0,0.13233258925705704
#BREAKING,0.013071895424836602,0.2700490680941021,0.010061919504643963,0.052196324290272086
#ma,0.0196078431372549,0.2741160721316639,0.0,0.07211859775098478
#fbi,0.006535947712418301,0.006535947712418301,0.0,2.4183440077658845e-26
#MMA,0.006535947712418301,0.19159270725834196,0.0,0.004296859737487016
#PrayFo,0.006535947712418301,0.268455858252839,0.0,0.05129761568052439
