source_tweet,target_user,type
323808103780990976,@VitoCaro7,mention
323808103780990976,@kyle_piersma,mention
323808103780990976,@VitoCaro7,retweet
323873597825355778,@DianneG,mention
323873597825355778,@AntDeRosa,mention
323873597825355778,@Boston_to_a_T,mention
323873597825355778,@DianneG,retweet
323873597825355778,@Boston_to_a_T,retweet
323874558325161984,@theoriginalwak,mention
323875502056161281,@Lana,mention
323875502056161281,@theoriginalwak,mention
323875502056161281,@Lana,retweet
323875502056161281,@theoriginalwak,retweet
323875539788128256,@alertnewengland,mention
323875539788128256,@alertnewengland,retweet
323876642911031297,@WBZ,mention
323877544694784000,@alicegoldfuss,mention
323877544694784000,@theoriginalwak,mention
323877624382373888,@RobGronkowski,mention
323877624382373888,@RobGronkowski,retweet
323877825696366592,@BostonDotCom,mention
323877825696366592,@BostonDotCom,retweet
323877985088331778,@lindsaylohan,mention
323877985088331778,@lindsaylohan,retweet
323878136091639809,@CMichaelGibson,mention
323878136091639809,@CMichaelGibson,retweet
323878727488516096,@RunCompetitor,mention
323878727488516096,@RunCompetitor,retweet
323879495041966080,@itvnews,mention
323879495041966080,@itvnews,retweet
323879717306507264,@michellemalkin,mention
323879717306507264,@JimArmstrongWBZ,mention
323879717306507264,@michellemalkin,retweet
323879759278923777,@RichelleCarey,mention
323879759278923777,@cnnbrk,mention
323879759278923777,@RichelleCarey,retweet
323879973188419584,@mjbrender,mention
323879973188419584,@mjbrender,retweet
323880602321448961,@awmannes,mention
323880602321448961,@thedailybeast,mention
323880602321448961,@brm90,mention
323880602321448961,@awmannes,retweet
323880610726834178,@maevejrolf,mention
323880610726834178,@maevejrolf,retweet
323880648479748096,@markweaver,mention
323880648479748096,@markweaver,retweet
323880942081040384,@FamousNobodies,mention
323880942081040384,@FamousNobodies,retweet
323881852215631873,@spj_tweets,mention
323881852215631873,@spj_tweets,retweet
323882229707202561,@QuotationMarks1,mention
323882229707202561,@QuotationMarks1,retweet
323882661720510464,@Ken_Rosenthal,mention
323882661720510464,@Ken_Rosenthal,retweet
323882925982629888,@msnbc,mention
323882925982629888,@msnbc,retweet
323882946933178368,@YahooNews,mention
323883236331761665,@TeamRunner4Life,mention
323883236331761665,@TeamRunner4Life,retweet
323883693527674881,@AARONS_WORLD,mention
323883693527674881,@AARONS_WORLD,retweet
323883827762180097,@tim_brannigan,mention
323883827762180097,@tim_brannigan,retweet
323884519788789760,@SportsCenter,mention
323884519788789760,@SportsCenter,retweet
323884582703345665,@Pink,mention
323884582703345665,@Pink,retweet
323884641419415554,@lauren11708,mention
323884641419415554,@lauren11708,retweet
323884742107873280,@WSJ,mention
323884742107873280,@WSJ,retweet
323885169922695168,@BBCBreaking,mention
323885169922695168,@BBCBreaking,retweet
323885442556637185,@rob_bieber,mention
323885442556637185,@youtube,mention
323885442556637185,@rob_bieber,retweet
323885803266797568,@BigBootyProbs,mention
323885803266797568,@BigBootyProbs,retweet
323885849412521985,@Hobbknob,mention
323885849412521985,@Hobbknob,retweet
323886088483643393,@dailydot,mention
323886088483643393,@dailydot,retweet
323886226878902272,@cnnbrk,mention
323886226878902272,@cnnbrk,retweet
323886243681284097,@piersmorgan,mention
323886243681284097,@piersmorgan,retweet
323886671491915776,@LauraLaneNYC,mention
323886671491915776,@LauraLaneNYC,retweet
323886994457501696,@Podolski10,mention
323886994457501696,@Podolski10,retweet
323887120261468160,@MarissaNBCLA,mention
323887120261468160,@MarissaNBCLA,retweet
323887153811705858,@cnnbrk,mention
323887153811705858,@cnnbrk,retweet
323887460008468480,@KCRG,mention
323887460008468480,@KCRG,retweet
323887648764735489,@KaraKrystel,mention
323887648764735489,@KaraKrystel,retweet
323887661318303744,@ItsJennaMarbles,mention
323887661318303744,@ItsJennaMarbles,retweet
323887711649923074,@WhiteGinga1999,mention
323887711649923074,@WhiteGinga1999,retweet
323888181441351681,@BethanSheeran,mention
323888181441351681,@BethanSheeran,retweet
323888298886041601,@mufc_blog,mention
323888298886041601,@mufc_blog,retweet
323888353391042561,@DapDMoney,mention
323888353391042561,@DapDMoney,retweet
323888378577817600,@TheFireTracker2,mention
323888378577817600,@TheFireTracker2,retweet
323888458269614082,@BostonGlobe,mention
323888458269614082,@BostonGlobe,retweet
323888600846581761,@runnersworld,mention
323888600846581761,@runnersworld,retweet
323888730895171584,@AbbyWambach,mention
323888730895171584,@AbbyWambach,retweet
323888735093657600,@backrubprincess,mention
323890173735747584,@dee_8689,mention
323890173735747584,@dee_8689,retweet
323890249220648961,@AnnieGelnaw,mention
323890249220648961,@AnnieGelnaw,retweet
323890354074046466,@katyyperryyoxo,mention
323890354074046466,@katyyperryyoxo,retweet
323890618315186177,@samclaflin,mention
323890618315186177,@samclaflin,retweet
323890790298427392,@KayCNN,mention
323890790298427392,@KayCNN,retweet
323891427815878656,@JamesLiamCook,mention
323891427815878656,@JamesLiamCook,retweet
323892820320583681,@DinoSamona,mention
323892820320583681,@DinoSamona,retweet
323892824523276288,@OfficialKat,mention
323892824523276288,@OfficialKat,retweet
323893009089445888,@Lauratobin1,mention
323893009089445888,@Lauratobin1,retweet
323893046829780992,@MalenaHarper,mention
323893046829780992,@MalenaHarper,retweet
323893105524879360,@aliciakeys,mention
323893105524879360,@aliciakeys,retweet
323893415903379456,@BuzzFeedNews,mention
323893415903379456,@BuzzFeedNews,retweet
323893474623627264,@__chloenicolle,mention
323893516579262464,@08_Fitzy,mention
323893516579262464,@08_Fitzy,retweet
323893696921739265,@LyricPostings,mention
323893696921739265,@LyricPostings,retweet
323893747274366976,@ashleycolley,mention
323893747274366976,@ashleycolley,retweet
323893843739176961,@NBA_Wallpapers_,mention
323893843739176961,@NBA_Wallpapers_,retweet
323893915025563648,@WeLoveFredo,mention
323893915025563648,@WeLoveFredo,retweet
323894003143700480,@GigiGraciette,mention
323894560960954368,@FellowshipLR,mention
323894560960954368,@FellowshipLR,retweet
323894581928288258,@NoRapist,mention
323894581928288258,@NoRapist,retweet
323894607110881280,@BDOG247,mention
323894607110881280,@BDOG247,retweet
323894695195471873,@ShyhiemB,mention
323894695195471873,@ShyhiemB,retweet
323895118790815744,@HugoAmazing,mention
323895118790815744,@HugoAmazing,retweet
323895156543721472,@HuntsmanAbby,mention
323895156543721472,@HuntsmanAbby,retweet
323895261422297088,@EcheMadubuike,mention
323895261422297088,@EcheMadubuike,retweet
323895550829264896,@USA_Swimming,mention
323895550829264896,@USA_Swimming,retweet
323895575974141952,@Boy1duh,mention
323895575974141952,@Boy1duh,retweet
323895773127393281,@AP,mention
323895773127393281,@AP,retweet
323895903129841664,@FinnHarries,mention
323895903129841664,@FinnHarries,retweet
323895924113952769,@ErikaEnd0,mention
323895924113952769,@ErikaEnd0,retweet
323895987028504577,@WLTX,mention
323895987028504577,@WLTX,retweet
323896037381111810,@nytimes,mention
323896037381111810,@nytimes,retweet
323896146433015808,@iCatchLovato,mention
323896146433015808,@iCatchLovato,retweet
323896221901139968,@AnonOpsLegion,mention
323896221901139968,@AnonOpsLegion,retweet
323896414839111681,@BloombergNews,mention
323896414839111681,@BloombergNews,retweet
323896708461363201,@HuntsmanAbby,mention
323896708461363201,@HuntsmanAbby,retweet
323896733614628864,@SprtsHumor,mention
323896733614628864,@SprtsHumor,retweet
323897123701653505,@cnnbrk,mention
323897123701653505,@cnnbrk,retweet
323897509565038592,@JahRastaMouse,mention
323897509565038592,@JahRastaMouse,retweet
323898621063995393,@ultramusic,mention
323898621063995393,@ultramusic,retweet
323898948228112385,@penialltration,mention
323898948228112385,@penialltration,retweet
323899023700393984,@hollywills,mention
323899023700393984,@hollywills,retweet
323899120194560000,@stephaniesmyth,mention
323899120194560000,@BostonMarathon,mention
323899120194560000,@stephaniesmyth,retweet
323899845783982081,@ionamatheson,mention
323899845783982081,@ionamatheson,retweet
323900252656652288,@BostonDotCom,mention
323900252656652288,@stevesilva,mention
323900252656652288,@BostonDotCom,retweet
323900495888527363,@bkeegan,mention
323900495888527363,@bkeegan,retweet
323901007597801472,@HuntsmanAbby,mention
323901007597801472,@HuntsmanAbby,retweet
323901166985568257,@Flotrack,mention
323901166985568257,@Flotrack,retweet
323901204759457792,@Melmichelle22,mention
323901204759457792,@Melmichelle22,retweet
323901687091826688,@cnnbrk,mention
323901687091826688,@cnnbrk,retweet
323901888431005696,@boystxts,mention
323901888431005696,@boystxts,retweet
323902341420036096,@YourAnonNews,mention
323902341420036096,@RedCross,mention
323902341420036096,@YourAnonNews,retweet
323902752440856576,@NDJ_Official,mention
323902752440856576,@NDJ_Official,retweet
323902802776707073,@JeffersonBethke,mention
323902802776707073,@brm90,mention
323902802776707073,@JeffersonBethke,retweet
323902878253191168,@FinnHarries,mention
323902878253191168,@FinnHarries,retweet
323902941205499907,@thebiebstagram,mention
323902941205499907,@thebiebstagram,retweet
323903540965810177,@911BUFF,mention
323903540965810177,@911BUFF,retweet
323903675175149569,@googlemaps,mention
323903675175149569,@googlemaps,retweet
323903763280711683,@AP,mention
323903763280711683,@AP,retweet
323903985578831872,@NHL,mention
323903985578831872,@NHL,retweet
323904178500038657,@mrjakehumphrey,mention
323904178500038657,@mrjakehumphrey,retweet
323904199471538179,@TheSimplyEpic,mention
323904199471538179,@TheSimplyEpic,retweet
323904199488327680,@carlymazing,mention
323904325325832192,@RealRomaDowney,mention
323904325325832192,@northlandchurch,mention
323904325325832192,@RealRomaDowney,retweet
323904618889375745,@HoodJesusYo,mention
323904618889375745,@HoodJesusYo,retweet
323904673423716352,@michellemalkin,mention
323904673423716352,@TwitchyTeam,mention
323904673423716352,@michellemalkin,retweet
323904698610503681,@KimKardashian,mention
323904698610503681,@KimKardashian,retweet
323904740532551680,@ksdknews,mention
323904740532551680,@ksdknews,retweet
323905441010688000,@mrjakehumphrey,mention
323905441010688000,@mrjakehumphrey,retweet
323905591984672769,@DuncanBannatyne,mention
323905591984672769,@DuncanBannatyne,retweet
323905612952006656,@CdnPress,mention
323905612952006656,@CdnPress,retweet
323906074312851456,@KingJames,mention
323906074312851456,@KingJames,retweet
323906191753375745,@SorryNotSoorry,mention
323906325987868674,@OhDearOOMF,mention
323906325987868674,@OhDearOOMF,retweet
323907236135063554,@orla_msc,mention
323907236135063554,@orla_msc,retweet
323907437499396096,@TheMindBlowing,mention
323907437499396096,@TheMindBlowing,retweet
323907563311751168,@BreakingNews,mention
323907563311751168,@BreakingNews,retweet
323907584295845889,@ialwaysloveJDB,mention
323907584295845889,@ialwaysloveJDB,retweet
323907823354408960,@TanyaBurr,mention
323907823354408960,@TanyaBurr,retweet
323907869504323584,@HuntsmanAbby,mention
323907869504323584,@HuntsmanAbby,retweet
323908079227916290,@PRyan,mention
323908079227916290,@PRyan,retweet
323908121133215744,@harryfletch_,mention
323908121133215744,@harryfletch_,retweet
